Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Batch,_gbc_pvals,GBC_KSstats,_hist_pvals,NumGenes
RNA_B06_09,20194289.0,99.3,7953068.0,39.66038083075987,56.99,1759284.0,0.47,2.344,0.29,0.067,batch_06,0.6243985690243574,0.09,0.3054987981092682,15558.0
RNA_B06_10,20370559.0,99.29,6847235.0,33.85374945204731,59.62,1314902.0,0.26,2.513,0.21,0.074,batch_06,0.5241976481720823,0.11,0.39181409492390956,14840.0
RNA_B06_11,21764119.0,98.99,10941134.0,50.784352659329684,57.32,2692586.0,1.35,2.912,0.91,0.086,batch_06,0.5749037124841687,0.1,0.34514275910579223,15220.0
RNA_B06_12,19544562.0,98.12,582077.0,3.035267399247839,0.89,479163.0,0.22,5.211,0.1,0.149,batch_06,6.306928210021575e-22,0.86,1.0273818992726967e-05,933.0
RNA_B06_13,19454752.0,97.11,622690.0,3.295962320353212,1.23,465164.0,0.11,7.043,0.0,0.204,batch_06,1.8146288526756441e-22,0.87,1.2479307022479036e-05,1067.0
RNA_B06_14,18297269.0,98.54,3057186.0,16.955985293293935,47.75,792496.0,0.0,5.132,0.0,0.132,batch_06,0.4730961202940454,0.12,0.43749087227489647,13515.0
RNA_B06_15,21824830.0,99.2,12254394.0,56.601676888500464,60.16,2298683.0,1.7,2.127,0.82,0.061,batch_06,0.5749037124841687,0.1,0.43791323196274556,14477.0
RNA_B06_16,17823548.0,99.26,5061363.0,28.608761357245392,53.54,1025395.0,0.11,2.494,0.0,0.065,batch_06,0.7168183469811907,0.07,0.4612603240367799,14296.0
RNA_B06_17,19858055.0,99.94,3416450.0,17.214682408022316,56.86,503887.0,0.0,0.352,0.0,0.014,batch_06,0.5241976481720823,0.11,0.3316369339957502,12662.0
RNA_B06_18,19883208.0,99.91,5707570.0,28.731336715364375,62.08,973793.0,0.0,0.545,0.0,0.022,batch_06,0.5749037124841687,0.1,0.42353194650931913,13406.0
RNA_B06_19,19444472.0,99.93,6842310.0,35.21362252510871,63.42,901483.0,0.11,0.373,0.1,0.015,batch_06,0.7168183469811907,0.07,0.42957708776557135,14542.0
RNA_B06_20,17640316.0,99.81,1824155.0,10.360514472843043,50.81,385878.0,0.0,1.143,0.0,0.043,batch_06,0.42243415688572034,0.13,0.22136999959940645,11643.0
RNA_B06_21,18789979.0,99.89,2158651.0,11.500960862936772,50.74,380174.0,0.0,0.698,0.0,0.025,batch_06,0.6243985690243574,0.09,0.17544921479216308,11136.0
