0,1,2,3,4,5,6,7,8,Sample
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B09_22
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B09_23
0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,RNA_B09_24
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B10_01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_02
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,RNA_B10_03
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B10_04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_07
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_08
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_09
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B10_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_11
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_12
1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,RNA_B10_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_14
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B10_15
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B10_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RNA_B10_17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B10_19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RNA_B10_20
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RNA_B10_21
0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,RNA_B10_22
1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RNA_B10_23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,RNA_B10_24
1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,RNA_B11_01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_04
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B11_08
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,RNA_B11_09
